=== 03:46:41
rule 17 | compiling | - attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | compiling | - attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | compiling | - attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | compiling | - attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:46:51
rule 17 | compiling | - attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | compiling | - attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | compiling | - attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | compiling | - attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:47:02
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | compiling | - attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | compiling | - attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | compiling | - attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:47:12
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | compiling | - attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:47:22
rule 17 | active | 1 attempts | The invoice's issuer_nif, normalised (uppercase, no spaces/h
rule 18 | compiling | - attempts | The invoice's iban, normalised (uppercase, no spaces), must 
rule 19 | active | 1 attempts | The invoice's purchase_order, normalised (uppercase, no spac
rule 20 | compiling | - attempts | The orders row for the invoice's purchase_order must have or
rule 21 | active | 1 attempts | The invoice's total must match the orders.total_amount of th
rule 22 | compiling | - attempts | The invoice's vat_amount must match base * vat_rate / 100 wi
rule 23 | compiling | - attempts | The invoice's total must match base + vat_amount within ±0.0
rule 24 | compiling | - attempts | The invoice's date must be a valid calendar date: it must pa
rule 25 | compiling | - attempts | The invoice's date must not be later than parameters.cut_off
rule 26 | compiling | - attempts | The erp entry for the invoice's purchase_order (erp.purchase
rule 27 | compiling | - attempts | No erp entry (in the erp source or in others) with the same 
=== 03:47:32
